Afghanistan|Kabul
Albania|Tirana
Algeria|Algiers
Andorra|Andorra la Vella
Angola|Luanda
Antigua and Barbuda|Saint John's
Argentina|Buenos Aires
Armenia|Yerevan
Australia|Canberra
Austria|Vienna
Azerbaijan|Baku
Bahamas|Nassau
Bahrain|Manama
Bangladesh|Dhaka
Barbados|Bridgetown
Belarus|Minsk
Belgium|Brussels
Belize|Belmopan
Benin|Porto Novo
Bhutan|Thimphu
Bolivia|La Paz, Sucre
Bosnia and Herzegovina|Sarajevo
Botswana|Gaborone
Brazil|Brasilia
Brunei|Bandar Seri Begawan
Bulgaria|Sofia
Burkina Faso|Ouagadougou
Burundi|Gitega
Cambodia|Phnom Penh
Cameroon|Yaounde
Canada|Ottawa
Cape Verde|Praia
Central African Republic|Bangui
Chad|N'Djamena
Chile|Santiago
China|Beijing
Colombia|Bogota
Comoros|Moroni
Congo|Kinshasa
Congo|Brazzaville
Costa Rica|San Jose
Côte d'Ivoire|Yamoussoukro
Croatia|Zagreb
Cuba|Havana
Cyprus|Nicosia
Czech Republic|Prague
Denmark|Copenhagen
Djibouti|Djibouti
Dominica|Roseau
Dominican Republic|Santo Domingo
East Timor|Dili
Ecuador|Quito
Egypt|Cairo
El Salvador|San Salvador
United Kingdom|London
Equatorial Guinea|Malabo
Eritrea|Asmara
Estonia|Tallinn
Eswatini|Mbabana
Ethiopia|Addis Ababa
Federated States of Micronesia|Palikir
Fiji|Suva
Finland|Helsinki
France|Paris
Gabon|Libreville
Gambia|Banjul
Georgia|Tbilisi
Germany|Berlin
Ghana|Accra
Greece|Athens
Grenada|Saint George's
Guatemala|Guatemala City
Guinea|Conakry
Guinea-Bissau|Bissau
Guyana|Georgetown
Haiti|Port au Prince
Honduras|Tegucigalpa
Hungary|Budapest
Iceland|Reykjavik
India|New Delhi
Indonesia|Jakarta
Iran|Tehran
Iraq|Baghdad
Ireland|Dublin
Israel|Jerusalem
Italy|Rome
Jamaica|Kingston
Japan|Tokyo
Jordan|Amman
Kazakhstan|Astana
Kenya|Nairobi
Kiribati|Tarawa Atoll
Kosovo|Pristina
Kuwait|Kuwait City
Kyrgyzstan|Bishkek
Laos|Vientiane
Latvia|Riga
Lebanon|Beirut
Lesotho|Maseru
Liberia|Monrovia
Libya|Tripoli
Liechtenstein|Vaduz
Lithuania|Vilnius
Luxembourg|Luxembourg
Madagascar|Antananarivo
Malawi|Lilongwe
Malaysia|Kuala Lumpur
Maldives|Male
Mali|Bamako
Malta|Valletta
Marshall Islands|Majuro
Mauritania|Nouakchott
Mauritius|Port Louis
Mexico|Mexico City
Moldova|Chisinau
Monaco|Monaco
Mongolia|Ulaanbaatar
Montenegro|Podgorica
Morocco|Rabat
Mozambique|Maputo
Myanmar|Nay Pyi Taw
Namibia|Windhoek
Nauru|No official capital
Nepal|Kathmandu
Netherlands|Amsterdam
New Zealand|Wellington
Nicaragua|Managua
Niger|Niamey
Nigeria|Abuja
North Korea|Pyongyang
North Macedonia|Skopje
Northern Ireland|Belfast
Norway|Oslo
Oman|Muscat
Pakistan|Islamabad
Palau|Melekeok
Palestine|Jerusalem
Panama|Panama City
Papua New Guinea|Port Moresby
Paraguay|Asuncion
Peru|Lima
Philippines|Manila
Poland|Warsaw
Portugal|Lisbon
Qatar|Doha
Romania|Bucharest
Russia|Moscow
Rwanda|Kigali
